cell_type,gene,species,tissue,evidence
T cell,CD3D,Human,Blood,PMID:curated
T cell,CD3E,Human,Blood,PMID:curated
T cell,CD3G,Human,Blood,PMID:curated
T cell,CD247,Human,Blood,PMID:curated
T cell,CD2,Human,Blood,PMID:curated
T cell,CD5,Human,Blood,PMID:curated
T cell,CD6,Human,Blood,PMID:curated
T cell,CD7,Human,Blood,PMID:curated
T cell,CD28,Human,Blood,PMID:curated
T cell,CD27,Human,Blood,PMID:curated
T cell,CD4,Human,Blood,PMID:curated
T cell,CD8A,Human,Blood,PMID:curated
T cell,CD8B,Human,Blood,PMID:curated
T cell,LCK,Human,Blood,PMID:curated
T cell,ZAP70,Human,Blood,PMID:curated
T cell,ITK,Human,Blood,PMID:curated
T cell,LAT,Human,Blood,PMID:curated
T cell,THEMIS,Human,Blood,PMID:curated
T cell,IL7R,Human,Blood,PMID:curated
T cell,IL2RA,Human,Blood,PMID:curated
T cell,IL2RB,Human,Blood,PMID:curated
T cell,IL2RG,Human,Blood,PMID:curated
T cell,CCR7,Human,Blood,PMID:curated
T cell,SELL,Human,Blood,PMID:curated
T cell,TCF7,Human,Blood,PMID:curated
T cell,LEF1,Human,Blood,PMID:curated
T cell,BCL11B,Human,Blood,PMID:curated
T cell,GATA3,Human,Blood,PMID:curated
T cell,TBX21,Human,Blood,PMID:curated
T cell,RORC,Human,Blood,PMID:curated
T cell,FOXP3,Human,Blood,PMID:curated
T cell,RUNX3,Human,Blood,PMID:curated
T cell,EOMES,Human,Blood,PMID:curated
T cell,PRF1,Human,Blood,PMID:curated
T cell,GZMA,Human,Blood,PMID:curated
T cell,GZMB,Human,Blood,PMID:curated
T cell,GZMK,Human,Blood,PMID:curated
T cell,IFNG,Human,Blood,PMID:curated
T cell,IL2,Human,Blood,PMID:curated
T cell,IL4,Human,Blood,PMID:curated
T cell,IL17A,Human,Blood,PMID:curated
T cell,CTLA4,Human,Blood,PMID:curated
T cell,PDCD1,Human,Blood,PMID:curated
T cell,LAG3,Human,Blood,PMID:curated
T cell,HAVCR2,Human,Blood,PMID:curated
T cell,TIGIT,Human,Blood,PMID:curated
T cell,ICOS,Human,Blood,PMID:curated
T cell,CD69,Human,Blood,PMID:curated
T cell,PTPRC,Human,Blood,PMID:curated
T cell,TRAC,Human,Blood,PMID:curated
